"","Category","Jigome_avg","Spades_avg","PacBio_avg"
"1","Total length (>= 0 bp)",7652063.94387755,7654953.83919598,7697619.71428571
"2","Total length (>= 10000 bp)",7649880.89285714,7608326.81909548,7697619.71428571
"3","Total length (>= 5000 bp)",7633737.61734694,7536030.79396985,7696828.57142857
"4","Total length (>= 100000 bp)",7618018.33673469,7477423.96984925,7695453.85714286
"5","Total length (>= 250000 bp)",7547360.18877551,7272288.72361809,7693960.42857143
"6","Total length (>= 500000 bp)",7432380.61734694,6866004.15075377,7693960.42857143
"7","contigs",33.9081632653061,134.708542713568,6.14285714285714
"8","Largest contig",2073870.87755102,644241.43718593,5019080.57142857
"9","Total length",7650997.74489796,7631316.67839196,7697619.71428571
"10","GC (%)",60.7547959183673,60.7483417085427,60.7585714285714
"11","N50",1254903.52040816,249644.40201005,5019080.57142857
"12","N75",487729.954081633,128875.447236181,910228.571428571
"13","L50",3.74489795918367,11.5276381909548,1
"14","L75",7.5969387755102,25.0452261306533,2.14285714285714
