"","ID","GC3s","Synteny","discordance_marni","n_genospecies","n_members"
"1","group1",0.727489,17.8273,1,5,201
"2","group10",0.729703,26.1367,0,5,201
"3","group100",0.798866,24.9205,1,5,171
"4","group1000",0.86787,33.5422,1,5,201
"5","group10000",0.544779,15.0687,1,3,43
"6","group10001",0.686679,25.8186,0,3,61
"7","group10002",0.725615,3.30303,0,2,22
"8","group10003",0.775108,15.8475,0,2,59
"9","group10004",0.56533,10.1971,0,4,75
"10","group10005",0.702206,3.57143,0,2,8
"11","group10006",0.712644,17.4762,0,1,7
"12","group10007",0.653869,5.86667,0,3,6
"13","group10008",0.630547,6,0,3,6
"14","group10009",0.572782,6,0,3,6
"15","group1001",0.832745,33.2543,1,5,200
"16","group10010",0.566038,4.33333,0,3,6
"17","group10011",0.674052,21.3376,1,4,68
"18","group10012",0.90369,17.5275,1,4,83
"19","group10013",0.608567,9.89891,0,3,61
"20","group10014",0.855011,28.284,1,5,88
"21","group10015",0.790038,13.4103,0,3,13
"22","group10016",0.748299,40,0,1,3
"23","group10017",0.670726,21.1667,1,1,9
"24","group10018",0.671312,2.66477,1,1,29
"25","group10019",0.54908,31.3432,0,3,102
"26","group1002",0.835221,32.9186,1,5,201
"27","group10020",0.609944,31.601,1,3,102
"28","group10021",0.652203,31.6173,0,3,102
"29","group10022",0.677977,31.6335,1,3,102
"30","group10023",0.723508,31.6497,1,3,102
"31","group10024",0.785338,31.6636,0,3,102
"32","group10025",0.661712,31.6794,0,3,102
"33","group10026",0.756872,31.6957,0,3,102
"34","group10027",0.686599,31.7119,2,3,102
"35","group10028",0.737805,31.7282,1,3,102
"36","group10029",0.751518,31.7229,1,3,102
"37","group1003",0.836839,33.4906,1,5,199
"38","group10030",0.754662,31.523,1,3,102
"39","group10031",0.722651,30.1128,1,4,104
"40","group10032",0.676509,31.2377,1,3,102
"41","group10033",0.471066,31.2425,2,3,102
"42","group10034",0.606211,31.2588,0,3,102
"43","group10035",0.845,32.9701,1,2,30
"44","group10036",0.542439,38.2364,0,1,11
"45","group10037",0.675904,0,1,2,4
"46","group10038",0.64,19.1231,1,1,41
"47","group10039",0.608696,37.7879,1,1,12
"48","group1004",0.778409,33.1159,0,5,201
"49","group10040",0.6,30.019,1,1,15
"50","group10041",0.67205,16.2436,1,1,12
"51","group10042",0.563754,24.4749,1,3,69
"52","group10043",0.645106,33.6667,1,2,33
"53","group10044",0.741935,40,1,1,11
"54","group10045",0.692154,36.5037,1,3,98
"55","group10046",0.571429,39.6032,0,1,36
"56","group10047",0.583441,25.887,0,3,65
"57","group10048",0.656865,23.163,1,3,80
"58","group10049",0.565835,26.7209,0,3,67
"59","group1005",0.797512,33.489,1,5,200
"60","group10050",0.648376,26.5052,0,3,67
"61","group10051",0.57753,24.3892,0,3,69
"62","group10052",0.746137,25.4573,1,3,67
"63","group10053",0.620717,25.2754,1,3,67
"64","group10054",0.654444,23.5661,0,3,69
"65","group10055",0.669931,25.6457,0,2,62
"66","group10056",0.708244,25.8371,0,2,62
"67","group10057",0.602269,25.1715,0,2,63
"68","group10058",0.584509,26.1586,0,2,62
"69","group10059",0.735294,33.0714,1,1,8
"70","group1006",0.757763,34.0251,1,5,199
"71","group10060",0.671465,5.18681,0,1,13
"72","group10061",0.734456,22.5443,1,2,48
"73","group10062",0.75,23.6958,1,1,35
"74","group10063",0.875,25.3727,1,1,38
"75","group10064",0.546597,10.344,1,3,47
"76","group10065",0.589744,22.1654,0,1,40
"77","group10066",0.533333,37.0351,1,1,19
"78","group10067",0.626721,25.7628,0,1,23
"79","group10068",0.641975,36.2047,1,1,19
"80","group10069",0.644444,24.9762,0,1,36
"81","group1007",0.786265,33.8483,1,5,201
"82","group10070",0.5,24.5556,0,1,37
"83","group10071",0.542382,19.4123,0,1,42
"84","group10072",0.672817,14.2115,0,1,30
"85","group10073",0.732641,23.6154,1,1,39
"86","group10074",0.624113,28.8261,0,2,24
"87","group10075",0.66675,21.4733,0,2,61
"88","group10076",0.686777,14.7464,1,3,75
"89","group10077",0.509962,26.9921,1,1,58
