;num_sequences;num_seg_sites;avg_pair;nuc_div;theta;tajimas_D;gene_group
0;196;204;48.36122449;0.031180673;34.85524825;1.228286898;group1
1;196;60;12.83458922;0.030128144;10.2515436;0.760317088;group10
2;167;162;30.83031527;0.046143036;28.45993551;0.265885638;group100
3;196;217;38.16431188;0.043269925;37.07641604;0.09313082;group1000
4;49;42;16.84863946;0.103987195;9.419580741;2.700671264;group10000
5;76;214;44.30982456;0.19566067;43.66139006;0.051224858;group10001
6;4;23;11.83333333;0.012104445;12.54545455;-0.58381132;group10002
7;8;2184;793;0.386731378;842.3140496;-0.32220116;group10003
8;7;414;213.5238095;0.348111039;168.9795918;1.55170135;group10004
9;7;40;19.04761905;0.030091025;16.32653061;0.958755625;group10005
10;5;1141;640.8;0.444717822;547.68;1.30061031;group10006
11;9;45;10.88888889;0.034322409;16.55716163;-1.740537582;group10007
12;20;887;337.0157895;0.365895319;250.0183457;1.457122552;group10008
13;24;1292;546.692029;0.399778715;345.9826305;2.352263375;group10009
14;57;13;2.45112782;0.014086941;2.819058092;-0.382840995;group1001
15;13;2415;910.9615385;0.366930087;778.2262471;0.789196932;group10010
16;10;516;258.4444444;0.24782872;182.3986534;2.089167481;group10011
17;2;459;459;0.6;459;nan;group10012-3
18;12;815;437.6060606;0.529079047;269.8785106;2.93780416;group10012
19;12;2004;923.6060606;0.518264288;663.6031107;1.854255812;group10013
20;5;848;513.2;0.334966574;407.04;1.9946206;group10014
21;32;210;47.56451613;0.149891457;52.14482601;-0.336836181;group10015
22;4;75;43;0.042156863;40.90909091;0.533806428;group10016
23;42;549;145.7607433;0.151080395;127.5873837;0.530570018;group10017
24;4;78;42.5;0.031481481;42.54545455;-0.01116112;group10018
25;42;715;189.5412311;0.159457067;166.1657184;0.524671323;group10019
26;57;23;1.286967419;0.003249918;4.987564316;-2.358344354;group1002
27;4;75;44.83333333;0.054541768;40.90909091;1.001854094;group10020
28;42;430;111.8234611;0.138129905;99.93183062;0.442584456;group10021
29;4;135;84.16666667;0.058086036;73.63636364;1.498136294;group10022
30;42;783;211.3193961;0.145836334;181.9688916;0.601789974;group10023
31;24;452;174.2318841;0.394398755;121.040363;1.775776251;group10024
32;12;143;60.37878788;0.227907265;47.35291658;1.288325262;group10025
33;3;492;328;0.343815514;328;nan;group10026-2
34;21;449;277.4;0.393337744;124.8005811;5.060699077;group10026
35;2;137;137;0.351282051;137;nan;group10027-3
36;32;370;165.4616935;0.447240243;91.87421725;3.088472664;group10027
37;45;879;300.1333333;0.192974694;201.0187744;1.824648751;group10028
38;7;253;97.47619048;0.07847985;103.2653061;-0.329468593;group10029-2
39;2;0;0;0;nan;nan;group10029-3
40;50;497;86.03836735;0.064694771;110.9571816;-0.818384211;group10029
41;189;321;63.38905775;0.064865047;55.18958457;0.475984918;group1003
42;3;6;4;0.004052685;4;nan;group10030
43;12;138;23.36363636;0.081926119;45.6972202;-2.28801625;group10031-2
44;59;237;61.98480421;0.215025714;51.0088277;0.763826175;group10031
45;9;68;16.63888889;0.079307787;25.01971091;-1.719120402;group10032
46;37;234;48.13513514;0.071629665;56.05382244;-0.531308351;group10033
47;37;416;82.13363363;0.094037038;99.6512399;-0.664659319;group10034
48;6;0;0;0;nan;nan;group10035-2
49;50;420;135.562449;0.190024058;93.76663231;1.622408334;group10035
50;37;964;187.3453453;0.122504062;230.9225848;-0.716313525;group10036
51;36;2395;1017.733333;0.354387368;577.5563643;2.908840366;group10037
52;42;454;203.7398374;0.182213077;105.5094212;3.463963397;group10038
53;25;1875;795.4866667;0.311053544;496.5627032;2.42567559;group10039
54;196;157;40.76949241;0.078708489;26.82487243;1.637287962;group1004
55;36;175;37.40793651;0.027755055;42.20140449;-0.427097446;group10040
56;50;823;276.2628571;0.287169309;183.7379486;1.839713805;group10041
57;36;162;32.94761905;0.032206861;39.06644301;-0.588187638;group10042
58;37;495;52.24324324;0.05960108;118.5753936;-2.117450467;group10043
59;36;152;31.09206349;0.030393024;36.65493419;-0.569285881;group10044
60;20;876;417.7105263;0.393793778;246.91778;2.896443292;group10045
61;19;555;120.497076;0.109090223;158.7933728;-1.01866957;group10046
62;41;162;69.65731707;0.18990065;37.86335641;3.097586202;group10047
63;12;2352;953.8181818;0.324023167;778.839579;1.063380807;group10048
64;23;2572;1135.442688;0.190573234;696.8653859;2.573098188;group10049
65;185;225;52.64447709;0.059084711;38.82747009;1.135283503;group1005
66;15;0;0;0;nan;nan;group10050
67;17;238;36.83088235;0.119294814;70.39901763;-2.051601711;group10051
68;16;168;82.85;0.101893453;50.62941718;2.766692428;group10052
69;16;28;8.575;0.005496795;8.438236197;0.066772484;group10053
70;42;727;183.6283391;0.208621244;168.9545136;0.323945057;group10054
71;9;786;395.9166667;0.404380042;289.1984231;1.926813729;group10055
72;48;63;81.82801418;0.368325369;14.19569925;16.73238313;group10056
73;7;823;404.2857143;0.26739532;335.9183673;1.199527485;group10057
74;2;0;0;0;nan;nan;group10058
75;5;0;0;0;nan;nan;group10059
76;181;182;37.65236341;0.043283674;31.52635513;0.618146262;group1006
77;52;96;12.54147813;0.03847461;21.24451624;-1.447272025;group10060
78;52;55;10.44419306;0.011643471;12.17133743;-0.489818343;group10061
79;52;91;28.8627451;0.03025445;20.13803102;1.527921589;group10062
80;52;37;8.860482655;0.011763391;8.187990633;0.276448136;group10063
81;51;57;10.08156863;0.025667925;12.66890389;-0.708069926;group10064
82;52;96;23.32880845;0.019343954;21.24451624;0.346607446;group10065
83;52;49;10.94419306;0.013169907;10.84355516;0.031829398;group10066
84;52;62;12.97134238;0.013639687;13.72041674;-0.189592986;group10067
85;34;0;0;0;nan;nan;group10068
86;5;870;489.6;0.455135891;417.6;1.318614365;group10069
87;185;110;24.67250294;0.052051694;18.98231871;0.937492576;group1007
88;4;13;8.5;0.008611955;7.090909091;2.010392415;group10070
89;3;1412;972;0.579651224;941.3333333;nan;group10071
90;3;953;636;0.356878824;635.3333333;nan;group10072
91;3;0;0;0;nan;nan;group10073
92;8;315;155.2142857;0.369997125;121.4876033;1.522925341;group10074
93;23;783;360.9802372;0.260375525;212.1483659;2.862244216;group10075
94;23;622;291.3280632;0.268652541;168.5265436;2.970630861;group10076
95;22;398;186.1515152;0.314991053;109.1799277;2.890993063;group10077
96;54;994;269.8553459;0.215515443;218.1301783;0.859256823;group10078
97;8;286;124.7142857;0.077849117;110.3030303;0.716451508;group10079
98;196;229;28.70952381;0.0416221;39.12672476;-0.845949618;group1008
99;6;28;14.93333333;0.012351806;12.26277372;1.376806676;group10080
100;6;4;2.133333333;0.016161616;1.751824818;1.180586266;group10081
101;8;287;97.39285714;0.11781937;110.6887052;-0.658705654;group10082
102;10;633;219.7777778;0.27100721;223.7564876;-0.089147059;group10083
103;22;1409;621.8874459;0.362372279;386.5188899;2.507468925;group10084
104;10;728;305.6;0.230585054;257.337635;0.940530312;group10085
105;8;287;135.2857143;0.138142147;110.6887052;1.218590106;group10086
106;4;587;368;0.441808104;320.1818182;1.569246894;group10087
107;23;3648;1023.814229;0.217076628;988.4000497;0.146528164;group10088
108;5;0;0;0;nan;nan;group10089-2
109;69;1216;467.655584;0.37589548;253.1193268;2.993111961;group10089
110;196;210;34.11601256;0.036678244;35.88040261;-0.155972159;group1009
111;15;959;369.0571429;0.333645703;294.9351431;1.119752316;group10090
112;16;686;242.8666667;0.259681059;206.7367868;0.766363418;group10091
113;16;1369;521.2666667;0.289895734;412.5694769;1.156967248;group10092
114;20;690;251.9315789;0.398385528;194.4900322;1.235900917;group10093
115;11;188;77.65454545;0.083676226;64.1864246;1.01259675;group10094
116;12;37;19.16666667;0.249798454;12.25215324;2.562681946;group10095
117;3;46;30.66666667;0.088122605;30.66666667;nan;group10096
118;10;1093;466.6222222;0.258750031;386.3599383;1.042485523;group10097
119;9;291;159.5555556;0.221812173;107.0696452;2.552397357;group10098
120;4;121;63.83333333;0.065470085;66;-0.343761685;group10099
121;167;129;21.21520814;0.028652214;22.66254124;-0.202534498;group101
122;119;84;11.39937331;0.014459951;15.69468137;-0.879671415;group1010
123;17;435;137.5;0.10075102;128.6704734;0.296373362;group10100
124;15;949;590.3809524;0.49394304;291.8596984;4.557152525;group10101
125;2;35;35;0.113268608;35;nan;group10102
126;14;539;169.2417582;0.283172638;169.4897264;-0.006621417;group10103
127;9;157;37.11111111;0.17867014;57.76609724;-1.854703384;group10104
128;4;146;87.5;0.35039054;79.63636364;1.034762968;group10105
129;19;1746;878.2046784;0.519236293;499.5553674;3.209983614;group10106
130;31;115;34.89032258;0.092302441;28.78607521;0.808719913;group10107
131;2;0;0;0;nan;nan;group10108-2
132;31;904;401.6989247;0.297727709;226.2835825;3.016044202;group10108
133;12;85;22.1969697;0.037180854;28.14683853;-0.98258657;group10109
134;192;104;24.72420375;0.077022442;17.8323276;1.202442152;group1011
135;9;6;3;0.027777778;2.207621551;1.565944262;group10110
136;22;912;471.4458874;0.489283824;250.181141;3.638550582;group10111
137;21;1211;1022.061905;0.490259814;336.6002311;8.454925499;group10112
138;19;573;355.3099415;0.477027133;163.9434281;4.93098002;group10113
139;9;15;3.666666667;0.009936766;5.519053876;-1.619548506;group10114
140;27;1;0.074074074;0.000301114;0.259442425;-1.153543215;group10115
141;4;275;158.5;0.180071994;150;0.59481766;group10116
142;29;3;1.24137931;0.009852217;0.763908669;1.48520608;group10117
143;7;237;110.5714286;0.2070626;96.73469388;0.840402218;group10118
144;28;1948;630.6957672;0.265698511;500.5837463;1.02853094;group10119
