group7136-2, chromosome-01
group7136-3, chromosome-01
group18304, fragment
group15908, chromosome-00
group15909, chromosome-00
group15902, chromosome-00
group15903, chromosome-00
group15900, chromosome-00
group15901, chromosome-00
group15906, chromosome-00
group15907, chromosome-00
group15904, chromosome-00
group15905, chromosome-00
group2377-4, chromosome-13
group14059, chromosome-01
group14058, chromosome-04
group14057, chromosome-04
group14056, chromosome-04
group14055, chromosome-04
group14054, chromosome-04
group14053, chromosome-04
group14052, chromosome-04
group14051, chromosome-04
group14050, chromosome-01
group17508, plasmid-Rh02
group17509, plasmid-Rh02
group17504, fragment
group17505, fragment
group17506, fragment
group17507, fragment
group17500, plasmid-Rh03
group17501, fragment
group17502, fragment
group17503, fragment
group6446-2, fragment
group9158-2, fragment
group1491-2, chromosome-05
group13085, chromosome-04
group13084, chromosome-04
group13087, chromosome-06
group13086, chromosome-04
group13081, chromosome-06
group13080, chromosome-04
group13083, chromosome-04
group13082, chromosome-06
group13089, chromosome-04
group13088, chromosome-04
group13339, chromosome-12
group13338, chromosome-12
group13337, fragment
group13336, chromosome-12
group13335, chromosome-03
group13334, chromosome-12
group13333, chromosome-12
group13332, chromosome-05
group13331, chromosome-08
group13330, chromosome-12
group12068, plasmid-Rh02
group12069, fragment
group12064, plasmid-Rh02
group12065, fragment
group12066, fragment
group12067, fragment
group12060, plasmid-Rh02
group12061, plasmid-Rh02
group12062, plasmid-Rh02
group12063, plasmid-Rh02
group7499-2, plasmid-Rh06
group5728, plasmid-Rh03
group5729, plasmid-Rh03
group5726, plasmid-Rh03
group5727, plasmid-Rh03
group5724, plasmid-Rh03
group5725, plasmid-Rh03
group5722, plasmid-Rh02
group5723, plasmid-Rh02
group5720, fragment
group5721, fragment
group2718, chromosome-01
group2719, chromosome-04
group2716, chromosome-00
group2717, chromosome-00
group2714, chromosome-00
group2715, chromosome-00
group2712, chromosome-04
group2713, chromosome-00
group2710, chromosome-00
group2711, chromosome-00
group5094, plasmid-Rh01
group5095, plasmid-Rh01
group5096, plasmid-Rh01
group5097, plasmid-Rh01
group5090, plasmid-Rh01
group5091, plasmid-Rh01
group5092, plasmid-Rh01
group5093, plasmid-Rh01
group5098, plasmid-Rh01
group5099, plasmid-Rh01
group3901-2, fragment
group3901-3, fragment
group7551, plasmid-Rh04
group3441, chromosome-00
group3440, chromosome-00
group3443, chromosome-00
group3442, chromosome-00
group3445, chromosome-00
group3444, chromosome-00
group3447, chromosome-00
group3446, chromosome-00
group3449, chromosome-00
group3448, chromosome-00
group3197, chromosome-00
group3196, chromosome-00
group3195, chromosome-00
group3194, chromosome-00
group3193, chromosome-00
group3192, chromosome-00
group3191, chromosome-00
group3190, chromosome-00
group3199, chromosome-00
group3198, chromosome-00
group6436-2, fragment
group12472-2, chromosome-06
group20889, plasmid-Rh02
group20888, chromosome-23
group20883, chromosome-10
group20882, fragment
group20881, fragment
group20880, chromosome-10
group20887, plasmid-Rh02+Rh04
group20886, chromosome-42
group20885, fragment
group20884, fragment
group6072-2, plasmid-Rh04
group7638, fragment
group7639, fragment
group7636, plasmid-Rh02
group7637, fragment
group7634, plasmid-Rh02-circula
group7635, fragment
group7632, chromosome-00
group7633, plasmid-Rh02-circula
group7630, fragment
group7631, plasmid-Rh03+Rh05
group10031-2, fragment
group1106, chromosome-01
group1107, chromosome-01
group1104, chromosome-01
group1105, chromosome-01
group1102, chromosome-01
group1103, chromosome-01
