group7136-2, hypothetical protein
group7136-3, hypothetical protein
group18304, 4-hydroxythreonine-4-phosphate dehydrogenase
group15908, hypothetical protein
group15909, hypothetical protein
group15902, hypothetical protein
group15903, hypothetical protein
group15900, hypothetical protein
group15901, hypothetical protein
group15906, hypothetical protein
group15907, cell divisionFtsK/SpoIIIE
group15904, hypothetical protein
group15905, hypothetical protein
group2377-4, transposase
group14059, hypothetical protein
group14058, hypothetical protein
group14057, hypothetical protein
group14056, hypothetical protein
group14055, Inosamine-phosphate amidinotransferase 1
group14054, NAD-dependent epimerase/dehydratase
group14053, cytochrome P450 monooxygenase
group14052, hypothetical protein
group14051, hypothetical protein
group14050, hypothetical protein
group17508, hypothetical protein
group17509, hypothetical protein
group17504, hypothetical protein
group17505, hypothetical protein
group17506, hypothetical protein
group17507, hypothetical protein
group17500, major facilitator superfamily MFS_1
group17501, hypothetical protein
group17502, hypothetical protein
group17503, hypothetical protein
group6446-2, hypothetical protein
group9158-2, type IV secretion protein VirB3
group1491-2, hypothetical protein
group13085, hypothetical protein
group13084, Lysine exporter protein (LYSE/YGGA)
group13087, hypothetical protein
group13086, hypothetical protein
group13081, MFS transporter
group13080, glycerol acyltransferase
group13083, ubiquinone biosynthesis protein UbiB
group13082, hypothetical protein
group13089, cobalamin synthesis protein P47K
group13088, hypothetical protein
group13339, hypothetical protein
group13338, hypothetical protein
group13337, hypothetical protein
group13336, hypothetical protein
group13335, hypothetical protein
group13334, hypothetical protein
group13333, 3'%2C5'-cyclic adenosine monophosphate phosphodiesterase CpdA
group13332, hypothetical protein
group13331, hypothetical protein
group13330, hypothetical protein
group12068, putative cytochrome P460
group12069, hypothetical protein
group12064, hypothetical protein
group12065, ATP-dependent DNA ligase
group12066, hypothetical protein
group12067, hypothetical protein
group12060, extracellular solute-binding protein family 3
group12061, ACS59134.1 transcriptional regulator%2C LysR family (plasmid)
group12062, filamentous haemagglutinin family outer membrane protein
group12063, plasmid stability protein StbB
group7499-2, replication protein B
group5728, plasmid partitioning protein RepA
group5729, hypothetical protein
group5726, replication protein C
group5727, plasmid partitioning protein RepB
group5724, prevent-host-death family protein
group5725, prevent-host-death family protein
group5722, hypothetical protein
group5723, transcriptional regulator%2C LysR family
group5720, Ku protein
group5721, Ku protein
group2718, monooxygenase FAD-binding protein
group2719, hypothetical protein
group2716, hypothetical protein
group2717, hypothetical protein
group2714, NAD-dependent epimerase/dehydratase
group2715, hypothetical protein
group2712, hypothetical protein
group2713, transcriptional regulator%2C AraC family
group2710, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group2711, secretion protein HlyD family protein
group5094, GCN5 family acetyltransferase
group5095, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5096, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5097, binding-protein-dependent transport systems inner membrane component
group5090, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5091, cold-shock DNA-binding domain protein
group5092, hypothetical protein
group5093, hypothetical protein
group5098, binding-protein-dependent transport systems inner membrane component
group5099, extracellular solute-binding protein family 5
group3901-2, cytochrome c oxidase%2C cbb3-type%2C subunit III
group3901-3, cytochrome c oxidase%2C cbb3-type%2C subunit III
group7551, mobilization protein C
group3441, RNA polymerase%2C sigma 32 subunit%2C RpoH
group3440, pseudouridine synthase%2C RluA family
group3443, Adenylosuccinate synthase
group3442, membrane protein
group3445, GCN5-related N-acetyltransferase
group3444, hypothetical protein
group3447, Dihydroxy-acid dehydratase
group3446, diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s)
group3449, transporter%2C hydrophobe/amphiphile efflux-1 (HAE1) family
group3448, 2-hydroxy-3-oxopropionate reductase
group3197, 7-cyano-7-deazaguanine reductase
group3196, putative periplasmic ligand-binding sensor protein
group3195, Endopeptidase Clp
group3194, benzoate transporter
group3193, 2-isopropylmalate synthase
group3192, transcriptional regulator%2C HxlR family
group3191, Alcohol dehydrogenase zinc-binding domain protein
group3190, putative transmembrane anti-sigma factor
group3199, hypothetical protein
group3198, cation diffusion facilitator family transporter
group6436-2, ACS59136.1 polysaccharide deacetylase (plasmid)
group12472-2, hypothetical protein
group20889, hypothetical protein
group20888, transcriptional regulator%2C XRE family
group20883, transposase
group20882, hypothetical protein
group20881, hypothetical protein
group20880, hypothetical protein
group20887, hypothetical protein
group20886, hypothetical protein
group20885, hypothetical protein
group20884, hypothetical protein
group6072-2, hypothetical protein
group7638, hypothetical protein
group7639, hypothetical protein
group7636, hypothetical protein
group7637, hypothetical protein
group7634, HipA domain protein
group7635, hypothetical protein
group7632, hypothetical protein
group7633, hypothetical protein
group7630, hypothetical protein
group7631, ErfK/YbiS/YcfS/YnhG family protein
group10031-2, hypothetical protein
group1106, ATP dependent DNA ligase
group1107, putative aminopeptidase protein
group1104, alpha/beta hydrolase fold protein
group1105, putative exonuclease protein involved in mRNA processing
group1102, diguanylate cyclase/phosphodiesterase with PAS/PAC and GAF sensor(s)
